Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn);Middel av høye vindkastverdier (døgn)
Oslo - Blindern;SN18700;27.08.2014;3.7;7.2
Oslo - Blindern;SN18700;28.08.2014;2.2;4.9
Oslo - Blindern;SN18700;29.08.2014;2.1;3.9
Oslo - Blindern;SN18700;30.08.2014;4;7.2
Oslo - Blindern;SN18700;31.08.2014;3.2;7.2
Oslo - Blindern;SN18700;01.09.2014;1.8;3.6
Oslo - Blindern;SN18700;02.09.2014;1.9;4.1
Oslo - Blindern;SN18700;03.09.2014;1.8;4.1
Oslo - Blindern;SN18700;04.09.2014;2.6;5.3
Oslo - Blindern;SN18700;05.09.2014;2.2;4.8
Oslo - Blindern;SN18700;06.09.2014;2;3.6
Oslo - Blindern;SN18700;07.09.2014;3.3;5.6
Oslo - Blindern;SN18700;08.09.2014;2.1;5.3
Oslo - Blindern;SN18700;09.09.2014;1.9;3
Oslo - Blindern;SN18700;10.09.2014;3.5;7.8
Oslo - Blindern;SN18700;11.09.2014;2;3.8
Oslo - Blindern;SN18700;12.09.2014;2.3;4.7
Oslo - Blindern;SN18700;13.09.2014;1.5;3.2
Oslo - Blindern;SN18700;14.09.2014;1.9;3.4
Oslo - Blindern;SN18700;15.09.2014;1.8;3.6
Oslo - Blindern;SN18700;16.09.2014;1.6;3
Oslo - Blindern;SN18700;17.09.2014;1.6;3.3
Oslo - Blindern;SN18700;18.09.2014;1.9;3.7
Oslo - Blindern;SN18700;19.09.2014;1.6;3.2
Oslo - Blindern;SN18700;20.09.2014;1.2;2.7
Oslo - Blindern;SN18700;21.09.2014;3.3;5.4
Oslo - Blindern;SN18700;22.09.2014;5.1;12
Oslo - Blindern;SN18700;23.09.2014;2.4;3.7
Oslo - Blindern;SN18700;24.09.2014;2;4.9
Oslo - Blindern;SN18700;25.09.2014;1.8;4.1
Oslo - Blindern;SN18700;26.09.2014;3.6;6.3
Oslo - Blindern;SN18700;27.09.2014;3.9;8.7
