Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn);Snødybde
Oslo - Blindern;SN18700;29.03.2015;7.6;1.2;5.3;6.3;0
Oslo - Blindern;SN18700;30.03.2015;7.9;1.9;5.3;4.9;0
Oslo - Blindern;SN18700;31.03.2015;8.5;-2.6;0.5;5.3;0
Oslo - Blindern;SN18700;01.04.2015;9.7;-;-;9.0;0
Oslo - Blindern;SN18700;02.04.2015;9.6;1.8;0.0;8.9;-
Oslo - Blindern;SN18700;03.04.2015;10.2;-0.4;0.0;6.7;0
Oslo - Blindern;SN18700;04.04.2015;9.0;0.4;-;6.1;0
Oslo - Blindern;SN18700;05.04.2015;8.0;-2.1;0.0;3.6;-
Oslo - Blindern;SN18700;06.04.2015;10.5;1.5;0.0;-301.0;0
Oslo - Blindern;SN18700;07.04.2015;14.9;220.3;0.0;7.1;0
Oslo - Blindern;SN18700;08.04.2015;12.6;6.7;-200.0;7.0;0
Oslo - Blindern;SN18700;09.04.2015;15.5;0.7;0.0;6.1;0
Oslo - Blindern;SN18700;10.04.2015;15.4;4.3;0.0;-301.0;0
Oslo - Blindern;SN18700;11.04.2015;8.6;3.9;0.0;4.7;0
Oslo - Blindern;SN18700;12.04.2015;12.1;4.7;2.4;8.6;0
Oslo - Blindern;SN18700;13.04.2015;11.5;-0.1;0.1;8.1;0
Oslo - Blindern;SN18700;14.04.2015;8.2;-0.2;0.0;5.7;0
Oslo - Blindern;SN18700;15.04.2015;10.8;1.0;3.3;5.7;0
Oslo - Blindern;SN18700;16.04.2015;11.9;1.3;2.3;7.9;0
Oslo - Blindern;SN18700;17.04.2015;12.2;3.8;0.0;7.3;0
Oslo - Blindern;SN18700;18.04.2015;14.3;0.6;0.0;6.9;0
Oslo - Blindern;SN18700;19.04.2015;18.8;4.2;-;8.0;0
Oslo - Blindern;SN18700;20.04.2015;-;4.7;0.0;4.9;0
Oslo - Blindern;SN18700;21.04.2015;20.0;5.7;0.0;6.5;0
Oslo - Blindern;SN18700;22.04.2015;18.2;4.2;200.5;7.2;220.3
Oslo - Blindern;SN18700;23.04.2015;14.3;6.9;0.0;8.1;0
Oslo - Blindern;SN18700;24.04.2015;400.5;2.2;0.0;220.3;0
Oslo - Blindern;SN18700;25.04.2015;8.7;5.5;200.5;6.3;0
Oslo - Blindern;SN18700;26.04.2015;12.6;0.6;4.4;7.7;0
Oslo - Blindern;SN18700;27.04.2015;11.6;-0.7;0.1;6.9;420.3
Oslo - Blindern;SN18700;28.04.2015;420.3;-0.7;0.0;5.1;200.5
Oslo - Blindern;SN18700;29.04.2015;10.5;-0.5;0.0;-;0
Oslo - Blindern;SN18700;30.04.2015;11.5;3.3;4.1;5.1;0
Oslo - Blindern;SN18700;01.05.2015;13.1;2.8;420.3;6.5;0
Oslo - Blindern;SN18700;02.05.2015;12.1;-;0.1;7.3;0
Oslo - Blindern;SN18700;03.05.2015;14.6;-;0.0;-;0
Oslo - Blindern;SN18700;04.05.2015;420.3;-;0.1;-;0
Oslo - Blindern;SN18700;05.05.2015;11.2;6.0;-;7.0;0
Oslo - Blindern;SN18700;06.05.2015;14.7;8.9;15.0;7.5;-201.0
Oslo - Blindern;SN18700;07.05.2015;11.9;6.8;7.4;6.4;-
Oslo - Blindern;SN18700;08.05.2015;14.2;0.9;5.2;7.7;0
Oslo - Blindern;SN18700;09.05.2015;13.3;0.1;0.0;5.9;0
Oslo - Blindern;SN18700;10.05.2015;16.7;3.2;15.9;7.5;0
Oslo - Blindern;SN18700;11.05.2015;13.8;420.3;0.6;7.7;0
Oslo - Blindern;SN18700;12.05.2015;11.4;7.6;4.3;5.6;0
Oslo - Blindern;SN18700;13.05.2015;15.6;2.3;3.8;6.5;0
Oslo - Blindern;SN18700;14.05.2015;14.7;3.9;0.2;7.0;-
Oslo - Blindern;SN18700;15.05.2015;16.9;1.0;420.3;6.8;0
Oslo - Blindern;SN18700;16.05.2015;11.9;6.2;0.0;4.9;0
Oslo - Blindern;SN18700;17.05.2015;10.3;4.2;11.1;8.0;0
Oslo - Blindern;SN18700;18.05.2015;15.1;3.4;0.0;6.0;0
Oslo - Blindern;SN18700;19.05.2015;11.5;-;1.0;6.1;0
Oslo - Blindern;SN18700;20.05.2015;14.5;6.3;4.6;6.5;0
Oslo - Blindern;SN18700;21.05.2015;16.9;3.7;0.0;6.8;0
Oslo - Blindern;SN18700;22.05.2015;11.9;7.6;-;7.1;0
Oslo - Blindern;SN18700;23.05.2015;18.8;3.5;0.2;7.1;0
Oslo - Blindern;SN18700;24.05.2015;13.8;3.3;0.0;-;0
Oslo - Blindern;SN18700;25.05.2015;-;8.2;9.7;-201.0;0
Oslo - Blindern;SN18700;26.05.2015;14.5;7.4;1.4;6.8;0
Oslo - Blindern;SN18700;27.05.2015;18.3;7.2;0.0;6.4;0
Oslo - Blindern;SN18700;28.05.2015;16.7;-200.0;0.0;5.5;0
Oslo - Blindern;SN18700;29.05.2015;15.5;5.3;6.3;7.5;0
Oslo - Blindern;SN18700;30.05.2015;11.2;220.3;8.4;-;0
Oslo - Blindern;SN18700;31.05.2015;17.6;3.7;5.2;6.1;0
Oslo - Blindern;SN18700;01.06.2015;15.8;8.5;4.8;10.9;0
Oslo - Blindern;SN18700;02.06.2015;13.0;5.7;-;9.0;0
Oslo - Blindern;SN18700;03.06.2015;17.5;8.5;12.2;8.9;0
Oslo - Blindern;SN18700;04.06.2015;18.5;5.1;0.0;8.7;0
Oslo - Blindern;SN18700;05.06.2015;19.7;8.1;0.0;5.9;0
Oslo - Blindern;SN18700;06.06.2015;18.2;10.3;7.6;7.6;0
Oslo - Blindern;SN18700;07.06.2015;19.4;-500.0;11.2;9.2;0
Oslo - Blindern;SN18700;08.06.2015;18.7;7.5;0.2;5.6;0
Oslo - Blindern;SN18700;09.06.2015;20.6;7.1;0.4;6.6;0
Oslo - Blindern;SN18700;10.06.2015;21.1;8.7;0.0;6.4;0
Oslo - Blindern;SN18700;11.06.2015;22.7;8.1;0.1;6.4;0
Oslo - Blindern;SN18700;12.06.2015;24.1;10.2;0.0;6.4;0
Oslo - Blindern;SN18700;13.06.2015;20.8;8.3;-301.0;4.6;0
Oslo - Blindern;SN18700;14.06.2015;400.5;11.0;0.0;6.3;0
Oslo - Blindern;SN18700;15.06.2015;19.5;6.6;1.8;6.0;0
Oslo - Blindern;SN18700;16.06.2015;20.4;8.1;0.0;6.3;0
Oslo - Blindern;SN18700;17.06.2015;17.6;-;0.0;5.4;0
Oslo - Blindern;SN18700;18.06.2015;220.3;9.4;8.5;-200.0;0
Oslo - Blindern;SN18700;19.06.2015;20.3;-;1.7;5.2;0
Oslo - Blindern;SN18700;20.06.2015;22.5;13.4;0.0;5.5;0
Oslo - Blindern;SN18700;21.06.2015;-201.0;13.0;0.0;6.1;0
Oslo - Blindern;SN18700;22.06.2015;19.1;10.3;2.2;7.5;0
Oslo - Blindern;SN18700;23.06.2015;21.8;12.5;2.5;6.4;0
Oslo - Blindern;SN18700;24.06.2015;21.6;-201.0;6.4;-;0
Oslo - Blindern;SN18700;25.06.2015;18.1;9.6;400.5;5.1;0
Oslo - Blindern;SN18700;26.06.2015;21.6;8.9;0.0;5.1;0
Oslo - Blindern;SN18700;27.06.2015;22.0;10.1;0.0;5.2;0
Oslo - Blindern;SN18700;28.06.2015;18.7;12.9;0.0;5.9;0
Oslo - Blindern;SN18700;29.06.2015;23.1;13.3;0.2;6.4;0
Oslo - Blindern;SN18700;30.06.2015;24.4;12.7;0.0;4.9;0
Oslo - Blindern;SN18700;01.07.2015;26.5;16.1;0.0;5.2;0
Oslo - Blindern;SN18700;02.07.2015;25.3;12.5;0.0;7.2;0
Oslo - Blindern;SN18700;03.07.2015;200.5;12.7;0.0;5.3;0
Oslo - Blindern;SN18700;04.07.2015;25.7;16.8;0.0;5.2;0
Oslo - Blindern;SN18700;05.07.2015;-;15.4;0.0;4.1;0
Oslo - Blindern;SN18700;06.07.2015;24.8;12.6;9.7;8.4;0
Oslo - Blindern;SN18700;07.07.2015;23.7;11.3;3.2;6.5;0
Oslo - Blindern;SN18700;08.07.2015;18.7;13.1;2.1;5.9;0
Oslo - Blindern;SN18700;09.07.2015;18.4;10.7;19.2;8.2;-
Oslo - Blindern;SN18700;10.07.2015;20.1;11.1;0.0;8.5;0
Oslo - Blindern;SN18700;11.07.2015;22.5;7.8;0.0;5.8;0
Oslo - Blindern;SN18700;12.07.2015;23.1;13.2;0.0;6.1;0
Oslo - Blindern;SN18700;13.07.2015;20.4;14.5;1.4;4.8;0
Oslo - Blindern;SN18700;14.07.2015;24.0;13.4;-200.0;4.8;0
Oslo - Blindern;SN18700;15.07.2015;20.9;11.6;0.0;6.0;0
Oslo - Blindern;SN18700;16.07.2015;18.6;9.7;9.3;6.7;0
Oslo - Blindern;SN18700;17.07.2015;20.7;7.8;0.0;5.3;0
Oslo - Blindern;SN18700;18.07.2015;20.7;12.1;5.5;7.3;0
Oslo - Blindern;SN18700;19.07.2015;22.7;11.6;-;-;-
Oslo - Blindern;SN18700;20.07.2015;-301.0;13.2;0.0;-301.0;0
Oslo - Blindern;SN18700;21.07.2015;19.9;12.3;3.1;4.7;0
Oslo - Blindern;SN18700;22.07.2015;22.8;13.1;4.5;6.3;0
Oslo - Blindern;SN18700;23.07.2015;21.9;11.0;2.0;6.3;0
Oslo - Blindern;SN18700;24.07.2015;20.6;8.1;0.0;6.6;0
Oslo - Blindern;SN18700;25.07.2015;16.6;8.6;0.0;5.4;0
Oslo - Blindern;SN18700;26.07.2015;14.4;10.8;8.6;8.0;0
Oslo - Blindern;SN18700;27.07.2015;21.0;9.8;8.3;6.2;0
Oslo - Blindern;SN18700;28.07.2015;17.2;12.5;0.6;5.5;0
Oslo - Blindern;SN18700;29.07.2015;18.0;12.9;6.9;6.5;0
Oslo - Blindern;SN18700;30.07.2015;23.0;10.7;2.2;5.8;-
Oslo - Blindern;SN18700;31.07.2015;20.1;11.3;0.1;7.2;0
Oslo - Blindern;SN18700;01.08.2015;21.3;9.0;0.1;6.5;0
Oslo - Blindern;SN18700;02.08.2015;20.0;9.1;9.3;-;0
Oslo - Blindern;SN18700;03.08.2015;20.8;9.8;1.7;3.7;0
Oslo - Blindern;SN18700;04.08.2015;220.3;11.4;-;-201.0;0
Oslo - Blindern;SN18700;05.08.2015;19.5;14.6;55.6;5.5;0
Oslo - Blindern;SN18700;06.08.2015;19.7;14.7;0.3;4.8;0
Oslo - Blindern;SN18700;07.08.2015;20.5;12.3;1.0;3.9;-
Oslo - Blindern;SN18700;08.08.2015;23.7;14.6;2.1;4.9;-
Oslo - Blindern;SN18700;09.08.2015;20.7;9.5;0.0;4.8;0
Oslo - Blindern;SN18700;10.08.2015;22.1;13.0;0.0;5.2;0
Oslo - Blindern;SN18700;11.08.2015;19.5;13.8;0.0;6.3;0
Oslo - Blindern;SN18700;12.08.2015;22.2;10.5;0.1;5.6;0
Oslo - Blindern;SN18700;13.08.2015;22.8;-201.0;0.0;4.8;0
Oslo - Blindern;SN18700;14.08.2015;25.4;10.2;0.0;4.8;0
Oslo - Blindern;SN18700;15.08.2015;24.2;12.7;0.0;5.5;-
Oslo - Blindern;SN18700;16.08.2015;23.2;14.6;0.0;5.1;-201.0
Oslo - Blindern;SN18700;17.08.2015;22.7;13.5;0.0;5.7;0
Oslo - Blindern;SN18700;18.08.2015;-500.0;12.2;0.0;4.7;0
Oslo - Blindern;SN18700;19.08.2015;24.0;11.6;0.0;4.6;-
Oslo - Blindern;SN18700;20.08.2015;220.3;12.9;0.0;-;0
Oslo - Blindern;SN18700;21.08.2015;24.3;11.1;0.0;5.5;0
Oslo - Blindern;SN18700;22.08.2015;24.5;9.9;0.0;4.3;0
Oslo - Blindern;SN18700;23.08.2015;25.1;10.1;-201.0;4.2;0
Oslo - Blindern;SN18700;24.08.2015;23.0;14.5;0.0;7.7;0
Oslo - Blindern;SN18700;25.08.2015;18.2;15.6;3.2;7.5;0
Oslo - Blindern;SN18700;26.08.2015;19.2;13.9;11.9;7.2;-200.0
Oslo - Blindern;SN18700;27.08.2015;18.4;12.8;34.4;5.7;0
Oslo - Blindern;SN18700;28.08.2015;20.6;8.0;11.0;6.9;0
Oslo - Blindern;SN18700;29.08.2015;20.7;-201.0;0.0;6.7;0
Oslo - Blindern;SN18700;30.08.2015;21.8;10.3;0.0;4.5;-
Oslo - Blindern;SN18700;31.08.2015;21.2;11.5;0.0;3.1;0
Oslo - Blindern;SN18700;01.09.2015;16.6;12.2;0.1;8.0;0
Oslo - Blindern;SN18700;02.09.2015;14.9;11.2;28.1;-;0
Oslo - Blindern;SN18700;03.09.2015;18.2;11.0;26.1;6.4;0
Oslo - Blindern;SN18700;04.09.2015;18.0;7.8;3.8;5.6;0
Oslo - Blindern;SN18700;05.09.2015;-;200.5;4.7;8.5;0
Oslo - Blindern;SN18700;06.09.2015;15.7;8.5;2.6;7.8;0
Oslo - Blindern;SN18700;07.09.2015;19.4;5.6;0.0;6.5;0
Oslo - Blindern;SN18700;08.09.2015;-;8.5;-301.0;5.5;0
Oslo - Blindern;SN18700;09.09.2015;21.1;8.9;0.2;5.4;0
Oslo - Blindern;SN18700;10.09.2015;21.2;8.4;0.0;3.0;0
Oslo - Blindern;SN18700;11.09.2015;19.4;10.7;0.0;4.3;0
Oslo - Blindern;SN18700;12.09.2015;16.2;11.6;0.0;5.2;0
Oslo - Blindern;SN18700;13.09.2015;16.5;12.2;0.9;-;0
Oslo - Blindern;SN18700;14.09.2015;-500.0;12.9;-;6.4;-
Oslo - Blindern;SN18700;15.09.2015;15.9;-;3.3;7.7;0
Oslo - Blindern;SN18700;16.09.2015;13.2;9.1;20.6;5.7;0
Oslo - Blindern;SN18700;17.09.2015;16.2;12.1;12.3;6.9;0
Oslo - Blindern;SN18700;18.09.2015;19.3;12.9;39.2;3.7;0
Oslo - Blindern;SN18700;19.09.2015;18.7;8.5;-500.0;3.9;0
Oslo - Blindern;SN18700;20.09.2015;15.3;6.5;0.3;-;0
Oslo - Blindern;SN18700;21.09.2015;13.9;8.9;0.7;3.6;-
Oslo - Blindern;SN18700;22.09.2015;12.0;8.5;200.5;3.7;0
Oslo - Blindern;SN18700;23.09.2015;14.0;10.9;5.4;2.6;0
Oslo - Blindern;SN18700;24.09.2015;16.5;12.0;0.1;5.2;-500.0
Oslo - Blindern;SN18700;25.09.2015;15.5;-;7.2;6.4;0
Oslo - Blindern;SN18700;26.09.2015;15.7;3.8;0.0;4.3;0
Oslo - Blindern;SN18700;27.09.2015;16.8;3.0;0.0;4.4;0
Oslo - Blindern;SN18700;28.09.2015;16.2;5.6;0.0;3.4;0
Oslo - Blindern;SN18700;29.09.2015;16.7;5.2;0.0;5.1;0
Oslo - Blindern;SN18700;30.09.2015;18.9;6.8;0.0;3.1;0
Oslo - Blindern;SN18700;01.10.2015;15.3;7.2;0.0;5.8;0
Oslo - Blindern;SN18700;02.10.2015;16.7;5.5;0.0;7.7;0
Oslo - Blindern;SN18700;03.10.2015;14.8;-;0.0;5.1;0
Oslo - Blindern;SN18700;04.10.2015;15.0;6.7;0.0;3.0;0
Oslo - Blindern;SN18700;05.10.2015;13.5;7.4;0.0;5.9;0
Oslo - Blindern;SN18700;06.10.2015;11.7;6.6;0.0;-;0
Oslo - Blindern;SN18700;07.10.2015;9.6;5.9;0.0;5.8;0
Oslo - Blindern;SN18700;08.10.2015;9.9;-;0.0;4.5;0
Oslo - Blindern;SN18700;09.10.2015;9.1;6.3;0.0;3.1;0
Oslo - Blindern;SN18700;10.10.2015;11.5;6.0;0.0;2.6;0
Oslo - Blindern;SN18700;11.10.2015;12.4;7.7;0.0;3.1;0
Oslo - Blindern;SN18700;12.10.2015;10.3;6.7;0.3;2.8;0
Oslo - Blindern;SN18700;13.10.2015;11.3;3.7;0.0;2.8;0
Oslo - Blindern;SN18700;14.10.2015;10.6;-0.5;0.0;3.2;0
Oslo - Blindern;SN18700;15.10.2015;11.0;-0.8;0.0;3.0;0
Oslo - Blindern;SN18700;16.10.2015;400.5;-0.5;400.5;3.8;-
Oslo - Blindern;SN18700;17.10.2015;9.9;-2.3;0.0;2.8;0
Oslo - Blindern;SN18700;18.10.2015;12.3;-0.3;0.0;3.1;0
Oslo - Blindern;SN18700;19.10.2015;11.3;0.9;0.0;3.3;0
Oslo - Blindern;SN18700;20.10.2015;7.4;3.5;0.5;3.1;0
Oslo - Blindern;SN18700;21.10.2015;200.5;3.6;0.2;6.0;0
Oslo - Blindern;SN18700;22.10.2015;-;7.5;5.1;6.9;0
Oslo - Blindern;SN18700;23.10.2015;15.9;-;0.1;5.8;0
Oslo - Blindern;SN18700;24.10.2015;10.7;1.7;0.0;6.0;0
Oslo - Blindern;SN18700;25.10.2015;12.0;200.5;1.5;7.2;0
Oslo - Blindern;SN18700;26.10.2015;200.5;-201.0;0.0;3.6;0
Oslo - Blindern;SN18700;27.10.2015;9.8;1.4;0.0;3.9;0
Oslo - Blindern;SN18700;28.10.2015;420.3;5.3;0.0;4.1;0
Oslo - Blindern;SN18700;29.10.2015;6.9;5.1;0.0;4.4;0
Oslo - Blindern;SN18700;30.10.2015;7.7;5.6;0.0;4.5;0
Oslo - Blindern;SN18700;31.10.2015;9.6;5.4;0.6;4.8;0
Oslo - Blindern;SN18700;01.11.2015;9.5;6.8;0.0;200.5;0
Oslo - Blindern;SN18700;02.11.2015;12.3;4.0;0.0;2.2;0
Oslo - Blindern;SN18700;03.11.2015;9.2;3.4;0.0;3.2;0
Oslo - Blindern;SN18700;04.11.2015;-;4.1;0.1;3.2;0
Oslo - Blindern;SN18700;05.11.2015;5.4;3.1;-;4.7;0
Oslo - Blindern;SN18700;06.11.2015;7.8;5.4;0.5;3.2;0
Oslo - Blindern;SN18700;07.11.2015;12.2;7.7;-301.0;2.7;0
Oslo - Blindern;SN18700;08.11.2015;10.6;3.7;8.2;7.4;0
Oslo - Blindern;SN18700;09.11.2015;8.8;4.9;4.4;7.3;0
Oslo - Blindern;SN18700;10.11.2015;8.1;-;0.0;3.7;0
Oslo - Blindern;SN18700;11.11.2015;6.7;0.3;0.0;3.2;0
Oslo - Blindern;SN18700;12.11.2015;8.4;3.1;0.3;3.3;0
Oslo - Blindern;SN18700;13.11.2015;11.2;1.7;1.5;7.6;0
Oslo - Blindern;SN18700;14.11.2015;-;1.7;1.0;4.8;0
Oslo - Blindern;SN18700;15.11.2015;7.1;-0.8;0.0;3.9;-
Oslo - Blindern;SN18700;16.11.2015;3.7;-1.1;0.0;5.9;0
Oslo - Blindern;SN18700;17.11.2015;5.3;0.5;7.5;3.0;0
Oslo - Blindern;SN18700;18.11.2015;4.6;0.2;0.0;3.1;0
Oslo - Blindern;SN18700;19.11.2015;0.7;-0.8;-;7.7;0
Oslo - Blindern;SN18700;20.11.2015;0.6;-4.7;0.0;-;0
Oslo - Blindern;SN18700;21.11.2015;-1.5;-4.7;0.0;5.1;-
Oslo - Blindern;SN18700;22.11.2015;1.1;-5.6;0.0;5.3;0
Oslo - Blindern;SN18700;23.11.2015;-2.0;-7.7;0.0;200.5;0
Oslo - Blindern;SN18700;24.11.2015;5.2;-4.1;1.4;2.5;0
Oslo - Blindern;SN18700;25.11.2015;5.1;-500.0;13.4;2.7;0
Oslo - Blindern;SN18700;26.11.2015;0.6;-3.7;0.1;2.2;0
Oslo - Blindern;SN18700;27.11.2015;9.6;0.2;0.0;7.1;0
Oslo - Blindern;SN18700;28.11.2015;10.0;0.0;7.8;8.2;0
Oslo - Blindern;SN18700;29.11.2015;5.7;-0.8;200.5;8.3;0
Oslo - Blindern;SN18700;30.11.2015;-;-2.8;3.6;5.5;0
Oslo - Blindern;SN18700;01.12.2015;5.9;-2.0;0.0;8.7;-301.0
Oslo - Blindern;SN18700;02.12.2015;3.5;-1.0;0.0;-500.0;0
Oslo - Blindern;SN18700;03.12.2015;4.9;-0.6;1.6;5.7;420.3
Oslo - Blindern;SN18700;04.12.2015;6.7;-0.2;9.6;7.9;0
Oslo - Blindern;SN18700;05.12.2015;10.4;1.6;11.7;8.0;0
Oslo - Blindern;SN18700;06.12.2015;10.2;4.0;0.0;7.6;0
Oslo - Blindern;SN18700;07.12.2015;-;-0.6;0.0;7.5;0
Oslo - Blindern;SN18700;08.12.2015;8.2;-0.5;0.0;6.1;0
Oslo - Blindern;SN18700;09.12.2015;400.5;3.7;4.7;6.3;0
Oslo - Blindern;SN18700;10.12.2015;9.1;3.7;-200.0;8.6;0
Oslo - Blindern;SN18700;11.12.2015;4.4;-1.6;-;6.4;0
